"Unix.Timestamp","Date","Symbol","Open","High","Low","Close","Volume"
1610510400000,"2021-01-13 04:00:00","BTC",33804.23,38188.33,32800,37040.7,4049.909358897
1.610424e+12,"2021-01-12 04:00:00","BTC",35000,36651.34,32178.29,33804.23,5245.7676481452
1610337600000,"2021-01-11 04:00:00","BTC",35435.13,36323.25,30250,35000,12556.0145246753
1610251200000,"2021-01-10 04:00:00","BTC",40490.5,41196.62,33100,35435.13,5913.671786521
1610164800000,"2021-01-09 04:00:00","BTC",40279.03,41470.21,38768.82,40490.5,2678.9480167972
1610078400000,"2021-01-08 04:00:00","BTC",38474.78,41999.99,37574.79,40279.03,5661.8498697045
1.609992e+12,"2021-01-07 04:00:00","BTC",37613.11,40396,36129.05,38474.78,5743.5155246883
1609905600000,"2021-01-06 04:00:00","BTC",34228.19,37824.48,33685.82,37613.11,4924.9962194883
1609819200000,"2021-01-05 04:00:00","BTC",31203.46,34536.29,29914.5,34228.19,3056.5630668166
1609732800000,"2021-01-04 04:00:00","BTC",33617.3,33669,27632.34,31203.46,4603.921518973
1609646400000,"2021-01-03 04:00:00","BTC",32637.23,34776,32301.61,33617.3,2175.1388612188
1.60956e+12,"2021-01-02 04:00:00","BTC",29441.14,33309.76,29313.31,32637.23,3684.9366820222
1609473600000,"2021-01-01 04:00:00","BTC",29363.61,29684.56,28698.87,29441.14,1370.5696878774
1.613016e+12,"2021-02-11 04:00:00","ETH",1745.01,1812.62,1745.01,1801.15,8736.5169153
1612929600000,"2021-02-10 04:00:00","ETH",1813.21,1840,1680,1745.01,35725.58754434
1612843200000,"2021-02-09 04:00:00","ETH",1737.94,1828.53,1717.52,1813.21,28809.13815297
1612756800000,"2021-02-08 04:00:00","ETH",1582.45,1780,1580.09,1737.94,43338.79029921
1612670400000,"2021-02-07 04:00:00","ETH",1629.06,1658.12,1492.97,1582.45,28712.54187638
1.612584e+12,"2021-02-06 04:00:00","ETH",1682.89,1721.89,1611.64,1629.06,22867.27696357
1612497600000,"2021-02-05 04:00:00","ETH",1641.97,1765,1625.1,1682.89,41709.9361084
1612411200000,"2021-02-04 04:00:00","ETH",1648.62,1676.58,1590,1641.97,17201.0213218
1612324800000,"2021-02-03 04:00:00","ETH",1541.68,1699,1514.5,1648.62,46607.14249779
1612238400000,"2021-02-02 04:00:00","ETH",1370,1549.98,1369.59,1541.68,47845.40472484
1.612152e+12,"2021-02-01 04:00:00","ETH",1318.18,1410.94,1300.07,1370,19193.34257186
1612065600000,"2021-01-31 04:00:00","ETH",1359.22,1373.48,1271.69,1318.18,19258.39240517
1611979200000,"2021-01-30 04:00:00","ETH",1342.34,1392,1328.21,1359.22,12210.91921191
1611892800000,"2021-01-29 04:00:00","ETH",1323.98,1442.13,1287.01,1342.34,48409.20364043
1611806400000,"2021-01-28 04:00:00","ETH",1291.66,1379.33,1291.66,1323.98,16519.82861311
1.61172e+12,"2021-01-27 04:00:00","ETH",1311.11,1320.88,1200.65,1291.66,52335.9007193
1611633600000,"2021-01-26 04:00:00","ETH",1314.85,1376.34,1245.71,1311.11,32606.82942811
1611547200000,"2021-01-25 04:00:00","ETH",1428.59,1447.79,1293.54,1314.85,48189.41090809
1611460800000,"2021-01-24 04:00:00","ETH",1295.1,1478,1288.28,1428.59,56023.02336786
1611374400000,"2021-01-23 04:00:00","ETH",1234.14,1295.86,1198.29,1295.1,27228.6209274
1.611288e+12,"2021-01-22 04:00:00","ETH",1160.47,1275.57,1120.12,1234.14,44402.87779736
1611201600000,"2021-01-21 04:00:00","ETH",1327.31,1327.31,1034.14,1160.47,22085.17410169
1611115200000,"2021-01-20 04:00:00","ETH",1342.27,1389.79,1234.01,1327.31,61709.96368744
1611028800000,"2021-01-19 04:00:00","ETH",1322.18,1440.54,1303.8,1342.27,77853.89710711
1610942400000,"2021-01-18 04:00:00","ETH",1193.62,1347.79,1188.41,1322.18,43472.57774446
1.610856e+12,"2021-01-17 04:00:00","ETH",1241.89,1268.96,1165.07,1193.62,34076.84722498
1610769600000,"2021-01-16 04:00:00","ETH",1179.36,1293.99,1152.93,1241.89,39000.64919573
1610683200000,"2021-01-15 04:00:00","ETH",1219,1246.56,1070.7,1179.36,64687.68577712
1610596800000,"2021-01-14 04:00:00","ETH",1097.76,1255.94,1097.76,1219,5777.51018443
1610510400000,"2021-01-13 04:00:00","ETH",1045.77,1149.54,1010.62,1097.76,36760.52878756
1.610424e+12,"2021-01-12 04:00:00","ETH",1088.38,1150,985.18,1045.77,65573.09686303
1610337600000,"2021-01-11 04:00:00","ETH",1101.2,1148.37,903.94,1088.38,176231.3080848
1610251200000,"2021-01-10 04:00:00","ETH",1315.43,1352,1000,1101.2,92883.48304556
1610164800000,"2021-01-09 04:00:00","ETH",1227.74,1345,1175.95,1315.43,56310.0153771
1610078400000,"2021-01-08 04:00:00","ETH",1152.91,1275.94,1127,1227.74,90532.4333607
1.609992e+12,"2021-01-07 04:00:00","ETH",1218.41,1218.41,1065.73,1152.91,21438.40133408
1609905600000,"2021-01-06 04:00:00","ETH",1080.09,1228.86,1075.63,1218.41,89943.34403554
1609819200000,"2021-01-05 04:00:00","ETH",1001.72,1128.05,975,1080.09,73249.58829307
1609732800000,"2021-01-04 04:00:00","ETH",1023.12,1171.05,880,1001.72,153231.68820809
1609646400000,"2021-01-03 04:00:00","ETH",773.66,1028,770,1023.12,111543.01654466
1.60956e+12,"2021-01-02 04:00:00","ETH",732.14,788.93,725,773.66,45045.50184404
1609473600000,"2021-01-01 04:00:00","ETH",746.69,748.5,716,732.14,20636.0196371
1.613016e+12,"2021-02-11 04:00:00","LTC",182.53,191.24,181.02,186.98,13862.7920115
1612929600000,"2021-02-10 04:00:00","LTC",189.1,195.56,170.52,182.53,54301.2872779
1612843200000,"2021-02-09 04:00:00","LTC",172.44,194.79,164.4,189.1,51786.076492
1612756800000,"2021-02-08 04:00:00","LTC",148.49,172.87,148.29,172.44,49389.2595687
1612670400000,"2021-02-07 04:00:00","LTC",152.22,155.19,145.31,148.49,32870.8182087
1.612584e+12,"2021-02-06 04:00:00","LTC",161.7,164,150.77,152.22,30551.6849987
1612497600000,"2021-02-05 04:00:00","LTC",148.08,164,147.53,161.7,40444.6712634
1612411200000,"2021-02-04 04:00:00","LTC",149.99,149.99,143.48,148.08,11789.1278331
1612324800000,"2021-02-03 04:00:00","LTC",153.44,158.94,148.54,149.99,25529.5604497
1612238400000,"2021-02-02 04:00:00","LTC",133.23,154.75,133.23,153.44,54922.9535792
1.612152e+12,"2021-02-01 04:00:00","LTC",130.57,136.5,127.65,133.23,30296.2589753
1612065600000,"2021-01-31 04:00:00","LTC",131.59,133.86,125.85,130.57,22381.7905025
1611979200000,"2021-01-30 04:00:00","LTC",130.15,135.9,128.75,131.59,25533.9356352
1611892800000,"2021-01-29 04:00:00","LTC",136.2,146.12,127.78,130.15,39270.1407576
1611806400000,"2021-01-28 04:00:00","LTC",127.36,139.18,127.36,136.2,21859.7237235
1.61172e+12,"2021-01-27 04:00:00","LTC",131.83,131.85,118.14,127.36,29508.8642756
1611633600000,"2021-01-26 04:00:00","LTC",134.89,137.45,128.37,131.83,16280.9614466
1611547200000,"2021-01-25 04:00:00","LTC",147.01,147.32,133.95,134.89,24758.8076988
1611460800000,"2021-01-24 04:00:00","LTC",140.72,147.68,133.9,147.01,23284.2156131
1611374400000,"2021-01-23 04:00:00","LTC",137.16,143.49,136,140.72,31506.8152151
1.611288e+12,"2021-01-22 04:00:00","LTC",134.98,141.79,133.22,137.16,27079.5012159
1611201600000,"2021-01-21 04:00:00","LTC",144.77,144.77,122.8,134.98,18609.3243965
